{'BatchDate': '2020-02-01 17:57:12', 'StartingDate': '2020-02-01 16:57:01', 'EndingDate': '2020-02-01 17:57:01', 'Delay': '1h0min', 'nRT': 12164, 'nInf': 1905, 'nFam': 2414, 'nUse': 9084}
{'BatchDate': '2020-02-01 18:57:13', 'StartingDate': '2020-02-01 17:56:59', 'EndingDate': '2020-02-01 18:57:02', 'Delay': '1h0min', 'nRT': 12626, 'nInf': 2036, 'nFam': 2660, 'nUse': 9338}
{'BatchDate': '2020-02-01 19:57:14', 'StartingDate': '2020-02-01 18:57:03', 'EndingDate': '2020-02-01 19:57:02', 'Delay': '0h59min', 'nRT': 12587, 'nInf': 1955, 'nFam': 2517, 'nUse': 9543}
{'BatchDate': '2020-02-01 20:57:14', 'StartingDate': '2020-02-01 19:57:02', 'EndingDate': '2020-02-01 20:57:03', 'Delay': '1h0min', 'nRT': 12360, 'nInf': 2051, 'nFam': 2647, 'nUse': 9401}
{'BatchDate': '2020-02-01 21:57:12', 'StartingDate': '2020-02-01 20:57:03', 'EndingDate': '2020-02-01 21:57:01', 'Delay': '0h59min', 'nRT': 11829, 'nInf': 1921, 'nFam': 2477, 'nUse': 9140}
{'BatchDate': '2020-02-01 22:57:13', 'StartingDate': '2020-02-01 21:57:01', 'EndingDate': '2020-02-01 22:57:02', 'Delay': '1h0min', 'nRT': 12712, 'nInf': 2031, 'nFam': 2607, 'nUse': 9507}
{'BatchDate': '2020-02-01 23:57:12', 'StartingDate': '2020-02-01 22:57:02', 'EndingDate': '2020-02-01 23:57:02', 'Delay': '1h0min', 'nRT': 11949, 'nInf': 2043, 'nFam': 2561, 'nUse': 9021}
{'BatchDate': '2020-02-02 00:57:12', 'StartingDate': '2020-02-01 23:57:02', 'EndingDate': '2020-02-02 00:57:01', 'Delay': '0h59min', 'nRT': 9972, 'nInf': 1805, 'nFam': 2294, 'nUse': 7640}
{'BatchDate': '2020-02-02 01:57:11', 'StartingDate': '2020-02-02 00:57:01', 'EndingDate': '2020-02-02 01:56:53', 'Delay': '0h59min', 'nRT': 7966, 'nInf': 1547, 'nFam': 1939, 'nUse': 6075}
{'BatchDate': '2020-02-02 02:57:09', 'StartingDate': '2020-02-02 01:56:54', 'EndingDate': '2020-02-02 02:56:57', 'Delay': '1h0min', 'nRT': 5188, 'nInf': 1200, 'nFam': 1499, 'nUse': 4000}
{'BatchDate': '2020-02-02 03:57:09', 'StartingDate': '2020-02-02 02:56:57', 'EndingDate': '2020-02-02 03:56:59', 'Delay': '1h0min', 'nRT': 3148, 'nInf': 871, 'nFam': 1064, 'nUse': 2423}
{'BatchDate': '2020-02-02 04:57:08', 'StartingDate': '2020-02-02 03:57:01', 'EndingDate': '2020-02-02 04:56:50', 'Delay': '0h59min', 'nRT': 2010, 'nInf': 643, 'nFam': 755, 'nUse': 1570}
{'BatchDate': '2020-02-02 05:57:07', 'StartingDate': '2020-02-02 04:56:54', 'EndingDate': '2020-02-02 05:57:00', 'Delay': '1h0min', 'nRT': 1499, 'nInf': 549, 'nFam': 651, 'nUse': 1097}
{'BatchDate': '2020-02-02 06:57:08', 'StartingDate': '2020-02-02 05:57:04', 'EndingDate': '2020-02-02 06:56:55', 'Delay': '0h59min', 'nRT': 1742, 'nInf': 651, 'nFam': 792, 'nUse': 1227}
{'BatchDate': '2020-02-02 07:57:08', 'StartingDate': '2020-02-02 06:56:59', 'EndingDate': '2020-02-02 07:56:59', 'Delay': '1h0min', 'nRT': 2967, 'nInf': 856, 'nFam': 1083, 'nUse': 1899}
{'BatchDate': '2020-02-02 08:57:09', 'StartingDate': '2020-02-02 07:56:59', 'EndingDate': '2020-02-02 08:56:59', 'Delay': '1h0min', 'nRT': 5463, 'nInf': 1223, 'nFam': 1576, 'nUse': 3544}
{'BatchDate': '2020-02-02 09:57:11', 'StartingDate': '2020-02-02 08:57:00', 'EndingDate': '2020-02-02 09:57:02', 'Delay': '1h0min', 'nRT': 8851, 'nInf': 1579, 'nFam': 2064, 'nUse': 6013}
