{'DateRun': '2020-02-01 08:57:27', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 08:57:01', 'NQualifiedRTA': 4423, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 09:57:29', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 09:57:01', 'NQualifiedRTA': 6706, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 10:57:30', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 10:57:03', 'NQualifiedRTA': 10077, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 11:57:30', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 11:57:03', 'NQualifiedRTA': 14899, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3613}
{'DateRun': '2020-02-01 12:57:27', 'FirstBassineID': 54879, 'DateLastAction': '2020-02-01 12:57:03', 'NQualifiedRTA': 21391, 'NQualifiedRTB': 3583, 'NRelevantTweets': 358, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 13:57:27', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 13:57:02', 'NQualifiedRTA': 20301, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 14:57:37', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 14:57:04', 'NQualifiedRTA': 27042, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 15:57:27', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 15:57:01', 'NQualifiedRTA': 33633, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 16:57:27', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 16:57:01', 'NQualifiedRTA': 40358, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
{'DateRun': '2020-02-01 17:57:27', 'FirstBassineID': 54880, 'DateLastAction': '2020-02-01 17:57:01', 'NQualifiedRTA': 47260, 'NQualifiedRTB': 0, 'NRelevantTweets': 0, 'TotalNRelevantTweets': 3971}
